Nominal,Tanggal,Dompet,Kategori,Catatan,Prioritas
2500.0,2023-12-22,Livin,Lainnya,Biaya Admin,Harus
7000.0,2023-12-24,Cash,Transportasi,Angkot,Butuh
30000.0,2023-12-24,Cash,Makanan/Minuman,Jajan,Ingin
5000.0,2023-12-24,OVO,Komunikasi,Kuota,Butuh
185000.0,2023-12-25,Livin,Transportasi,Kereta,Harus
55500.0,2023-12-26,Cash,Produktivitas,Stand holder laptop,Butuh
50000.0,2023-12-26,Livin,Komunikasi,Pulsa,Butuh
6100.0,2023-12-28,Livin,Makanan/Minuman,Susu,Ingin
27500.0,2023-12-28,Livin,Lainnya,E-Money,Butuh
68800.0,2023-12-28,Livin,Kebersihan,Face Wash,Butuh
15000.0,2023-12-29,Cash,Transportasi,Bensin,Butuh
66000.0,2023-12-30,Livin,Belanja,Kebutuhan Kost,Butuh
9000.0,2023-12-30,Cash,Makanan/Minuman,Air Minum,Butuh
23500.0,2023-12-30,Cash,Kebersihan,Sabun mandi,Butuh
14700.0,2023-12-30,Cash,Kebersihan,Sikat Gigi,Butuh
11500.0,2023-12-30,Cash,Kebersihan,Pasta Gigi,Butuh
700000.0,2023-12-30,Livin,Tempat tinggal,Sewa Kost,Butuh
36000.0,2023-12-30,OVO,Transportasi,Ojol,Butuh
36000.0,2023-12-30,OVO,Transportasi,Ojol,Butuh
1500.0,2023-12-30,OVO,Lainnya,Biaya Admin,Harus
2500.0,2023-12-30,Livin,Lainnya,Biaya Admin,Harus
10000.0,2023-12-31,Cash,Makanan/Minuman,Sarapan,Butuh
12000.0,2023-12-31,Cash,Makanan/Minuman,Nasi Padang,Butuh
31500.0,2024-01-01,Cash,Kebersihan,Hair Spray,Butuh
15000.0,2024-01-01,Cash,Makanan/Minuman,Nasi,Butuh
16200.0,2024-01-01,Cash,Belanja,Kispray,Butuh
11800.0,2024-01-01,Cash,Makanan/Minuman,Air Minum,Butuh
19500.0,2024-01-01,Cash,Belanja,Detergen,Butuh
29000.0,2024-01-02,Cash,Kesehatan,Obat,Harus
12000.0,2024-01-02,Cash,Makanan/Minuman,Breakfast,Butuh
15000.0,2024-01-02,Cash,Makanan/Minuman,Dinner,Butuh
14000.0,2024-01-02,Cash,Makanan/Minuman,Air Minum,Butuh
52000.0,2024-01-02,Livin,Makanan/Minuman,Makan Malam,Butuh
14000.0,2024-01-03,Cash,Makanan/Minuman,Lunch,Butuh
15000.0,2024-01-03,Cash,Makanan/Minuman,Dinner,Butuh
12000.0,2024-01-03,Cash,Makanan/Minuman,Breakfast,Butuh
7000.0,2024-01-04,Cash,Makanan/Minuman,Sarapan,Butuh
18000.0,2024-01-04,Cash,Makanan/Minuman,Makan siang,Butuh
7000.0,2024-01-05,Cash,Makanan/Minuman,Sarapan,Butuh
12000.0,2024-01-05,Cash,Makanan/Minuman,Makan malam,Butuh
22500.0,2024-01-06,OVO,Transportasi,Ojol,Butuh
15000.0,2024-01-06,Cash,Makanan/Minuman,Sarapan,Butuh
26000.0,2024-01-07,Cash,Lainnya,"Sabun, Jepit Jemuran, Sponge",Butuh
10000.0,2024-01-07,OVO,Transportasi,Ojol,Butuh
20000.0,2024-01-07,Cash,Makanan/Minuman,Air Minum,Butuh
9000.0,2024-01-08,Cash,Makanan/Minuman,Sarapan,Butuh
15000.0,2024-01-08,Cash,Makanan/Minuman,Makan malam,Butuh
20000.0,2024-01-08,OVO,Makanan/Minuman,Makan siang,Butuh
9000.0,2024-01-09,Cash,Makanan/Minuman,Makan siang,Butuh
7000.0,2024-01-09,Cash,Makanan/Minuman,Sarapan,Butuh
11000.0,2024-01-09,Cash,Makanan/Minuman,Makan malam,Butuh
12000.0,2024-01-10,Cash,Makanan/Minuman,Makan Malam,Butuh
12000.0,2024-01-10,Cash,Makanan/Minuman,Makan Siang,Butuh
22500.0,2024-01-10,Cash,Makanan/Minuman,Roti,Butuh
10000.0,2024-01-11,Cash,Makanan/Minuman,Makan siang,Butuh
18000.0,2024-01-11,Cash,Makanan/Minuman,Makan Malam,Butuh
237820.0,2024-01-11,Livin,Komunikasi,Wifi,Butuh
11000.0,2024-01-12,Cash,Makanan/Minuman,Makan Siang,Butuh
16000.0,2024-01-12,Cash,Makanan/Minuman,"Nasi Goreng,Makan Malam",Butuh
7000.0,2024-01-12,Cash,Makanan/Minuman,Sarapan,Butuh
15000.0,2024-01-13,Cash,Makanan/Minuman,Kebab,Butuh
10000.0,2024-01-13,OVO,Transportasi,Ojol,Butuh
115000.0,2024-01-13,Cash,Belanja,Kemeja,Butuh
5000.0,2024-01-13,Cash,Makanan/Minuman,Air Minum,Butuh
33000.0,2024-01-13,Livin,Transportasi,e-money,Butuh
13000.0,2024-01-13,Cash,Makanan/Minuman,Makan Malam,Butuh
